Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Locales,,View site language without user preferred languages,4b,Functional,,5,,,,,Locale#ViewSiteLocaleWithoutUserPreferredLocale
Locales,,Test group 5 - FriendlyURL localization,,,,,,,,,
Locales,,Assert friendlyURL changes current locale,5a,Functional,,4,,,,,Locale#ViewUserPreferredLocalePersistsFriendlyURL
Locales,,Assert friendlyURL change to locale does not persist for user with a preferred locale,5b,Functional,,5,,,,,Locale#ViewUserPreferredLocalePersistsFriendlyURL
Locales,,Assert friendlyURL change to locale does not persist for guest user / site default locale,5c,Functional,,5,,,,,Locale#GuestUserViewSiteChangedLocalePersistsFriendlyURL
Locales,,Test group 6 - Configure available time zones,,,,,,,,,
Locales,,View default available time zones for instances,6a,Functional,,3,,,,,Locale#ViewDefaultAvailableTimeZonesForInstancesAndUsers
Locales,,View default available time zones for users,6b,Functional,,4,,,,,Locale#ViewDefaultAvailableTimeZonesForInstancesAndUsers
Locales,,Restrict instance available time zones by portal properties,6c,Manual,,2,,,,,
Locales,,User available time zones restricted by instance available time zones,6d,Manual,,2,,,,,
Locales,,Test group 7 - Configure default time zones,,,,,,,,,
Locales,,Configure instance default time zone,7a,Functional,,3,,,,,Locale#ChangesToInstanceTimeZoneDoNotPropagateToExistingUser
Locales,,Created user inherits instance default time zone,7b,Functional,,4,,,,,Locale#ChangesToInstanceTimeZoneDoNotPropagateToExistingUser
Locales,,Changes to instance time zone do not propagate to existing users,7c,Functional,,5,,,,,Locale#ChangesToInstanceTimeZoneDoNotPropagateToExistingUser
LPKG,LPKG,,,,,,,,,,
LPKG,,Test Group 1 - Deployment,,,,,,,,,
LPKG,,Deploy LPKG (LPKG can be hot deployed),1a,Integration,-,5,,,,,LPKGDeployerCleanStartupTest
LPKG,,Deploy upgraded LPKG,1b,Integration,-,5,,,,,"LPKGUpgradeTest (Unit)
LPKGDeployerUpgradeTest(Int)"
LPKG,,Deploy downgraded LPKG,1c,Integration,-,4,,,,,"LPKGDowngradeTest (Unit)
LPKGDeployerDowngradeTest (Int)"
LPKG,,Uninstall LPKG,1d,Integration,-,5,,,,,LPKGControllerVerifyTest
LPKG,,‘restart-required’ property in liferay-marketplace.properties will log that a restart is needed in order to deploy the LPKG (defaults to true),1e,Manual,,3,,,,,
LPKG,,Deploy supercedes LPKG,1f,Manual,,2,,,,,
LPKG,,Deploy upgraded LPKG with Restart Required,1g,Integration,,5,,,,,LPKGPersistenceVerifyUpgradeTest
LPKG,,Test Group 2 - Resolving,,,,,,,,,
